#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_100_length_1468_cov_60.478001	125	1344	ehaB	87-1276/2949	=======./......	8/36	40.25	90.52	ecoli_vf	gi:222155165	ecoli_vf~~~ehaB~~~gi:222155165 structural protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_24_length_89496_cov_16.945552	48569	50449	cib	1-1881/1881	===============	0/0	100.00	99.26	ecoli_vf	gi:73476856	ecoli_vf~~~cib~~~gi:73476856 Colicin IB
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_24_length_89496_cov_16.945552	80314	80918	traJ	1-606/606	========/======	1/1	99.83	98.52	ecoli_vf	gi:150860	ecoli_vf~~~traJ~~~gi:150860 TraJ
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_25_length_85634_cov_41.926334	17185	17319	entD	1-136/771	===...../......	2/3	17.38	81.75	ecoli_vf	gi:26246560	ecoli_vf~~~entD~~~gi:26246560 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_25_length_85634_cov_41.926334	23013	23729	cfaA	1-717/717	===============	0/0	100.00	100.00	ecoli_vf	gi:157155469	ecoli_vf~~~cfaA~~~gi:157155469 hypothetical protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_25_length_85634_cov_41.926334	23759	24259	cfaB	1-501/501	===============	0/0	100.00	99.80	ecoli_vf	gi:260845908	ecoli_vf~~~cfaB~~~gi:260845908 fimbrial subunit
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_25_length_85634_cov_41.926334	24333	27035	cfaC	1-2703/2703	===============	0/0	100.00	99.81	ecoli_vf	gi:157158530	ecoli_vf~~~cfaC~~~gi:157158530 hypothetical protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_25_length_85634_cov_41.926334	27032	28120	cfaD	1-1089/1089	===============	0/0	100.00	99.91	ecoli_vf	gi:157157077	ecoli_vf~~~cfaD~~~gi:157157077 pilus biogenesis initiator protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_26_length_84402_cov_35.815829	10161	10946	fliR	1-786/786	===============	0/0	100.00	97.58	ecoli_vf	gi:15802385	ecoli_vf~~~fliR~~~gi:15802385 flagellar biosynthesis protein FliR
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_26_length_84402_cov_35.815829	10955	11224	fliQ	1-270/270	===============	0/0	100.00	97.04	ecoli_vf	gi:15802384	ecoli_vf~~~fliQ~~~gi:15802384 flagellar biosynthesis protein FliQ
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_26_length_84402_cov_35.815829	11234	11971	fliP	1-738/738	===============	0/0	100.00	98.92	ecoli_vf	gi:15802383	ecoli_vf~~~fliP~~~gi:15802383 flagellar biosynthesis protein FliP
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_26_length_84402_cov_35.815829	11971	12336	fliO	1-366/366	===============	0/0	100.00	99.73	ecoli_vf	gi:161367586	ecoli_vf~~~fliO~~~gi:161367586 flagellar biosynthesis protein FliO
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_26_length_84402_cov_35.815829	12339	12752	fliN	1-414/414	===============	0/0	100.00	98.79	ecoli_vf	gi:15802381	ecoli_vf~~~fliN~~~gi:15802381 flagellar motor switch protein FliN
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_26_length_84402_cov_35.815829	12749	13753	fliM	1-1005/1005	===============	0/0	100.00	98.51	ecoli_vf	gi:15802380	ecoli_vf~~~fliM~~~gi:15802380 flagellar motor switch protein FliM
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_26_length_84402_cov_35.815829	13758	14222	fliL	1-465/465	===============	0/0	100.00	98.50	ecoli_vf	gi:15802379	ecoli_vf~~~fliL~~~gi:15802379 flagellar basal body-associated protein FliL
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_26_length_84402_cov_35.815829	14327	15454	fliK	1-1128/1128	===============	0/0	100.00	97.96	ecoli_vf	gi:15802378	ecoli_vf~~~fliK~~~gi:15802378 flagellar hook-length control protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_26_length_84402_cov_35.815829	15451	15894	fliJ	1-444/444	===============	0/0	100.00	100.00	ecoli_vf	gi:15802377	ecoli_vf~~~fliJ~~~gi:15802377 flagellar biosynthesis chaperone
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_26_length_84402_cov_35.815829	15913	17286	fliI	1-1374/1374	===============	0/0	100.00	98.62	ecoli_vf	gi:161367587	ecoli_vf~~~fliI~~~gi:161367587 flagellum-specific ATP synthase
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_26_length_84402_cov_35.815829	17286	17972	fliH	1-687/687	===============	0/0	100.00	98.11	ecoli_vf	gi:161367588	ecoli_vf~~~fliH~~~gi:161367588 flagellar assembly protein H
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_26_length_84402_cov_35.815829	17965	18960	fliG	1-996/996	===============	0/0	100.00	99.20	ecoli_vf	gi:15802374	ecoli_vf~~~fliG~~~gi:15802374 flagellar motor switch protein G
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_26_length_84402_cov_35.815829	18953	20611	fliF	1-1659/1659	===============	0/0	100.00	98.67	ecoli_vf	gi:15802373	ecoli_vf~~~fliF~~~gi:15802373 flagellar MS-ring protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_26_length_84402_cov_35.815829	20826	21140	fliE	1-315/315	===============	0/0	100.00	96.83	ecoli_vf	gi:15802372	ecoli_vf~~~fliE~~~gi:15802372 flagellar hook-basal body protein FliE
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_26_length_84402_cov_35.815829	25942	26307	fliT	1-366/366	===============	0/0	100.00	97.00	ecoli_vf	gi:15802361	ecoli_vf~~~fliT~~~gi:15802361 flagellar biosynthesis protein FliT
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_26_length_84402_cov_35.815829	26307	26717	fliS	1-411/411	===============	0/0	100.00	98.05	ecoli_vf	gi:15802360	ecoli_vf~~~fliS~~~gi:15802360 flagellar protein FliS
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_26_length_84402_cov_35.815829	26742	28148	fliD	1-1398/1398	========/======	1/9	100.00	97.66	ecoli_vf	gi:15802359	ecoli_vf~~~fliD~~~gi:15802359 flagellar capping protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_26_length_84402_cov_35.815829	28414	28907	fliC	1-494/1758	=====..........	0/0	28.10	89.88	ecoli_vf	gi:15802358	ecoli_vf~~~fliC~~~gi:15802358 flagellin
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_26_length_84402_cov_35.815829	29405	29676	fliC	1487-1758/1758	............===	0/0	15.47	89.34	ecoli_vf	gi:15802358	ecoli_vf~~~fliC~~~gi:15802358 flagellin
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_26_length_84402_cov_35.815829	29697	29819	entD	15-137/771	===...../......	3/4	15.69	84.00	ecoli_vf	gi:26246560	ecoli_vf~~~entD~~~gi:26246560 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_26_length_84402_cov_35.815829	29996	30715	fliA	1-720/720	===============	0/0	100.00	99.03	ecoli_vf	gi:15802357	ecoli_vf~~~fliA~~~gi:15802357 flagellar biosynthesis sigma factor
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_26_length_84402_cov_35.815829	30725	31312	fliZ	1-588/588	===============	0/0	100.00	98.13	ecoli_vf	gi:15802356	ecoli_vf~~~fliZ~~~gi:15802356 flagella biosynthesis protein FliZ
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_26_length_84402_cov_35.815829	31400	32200	fliY	1-801/801	===============	0/0	100.00	97.63	ecoli_vf	gi:15802355	ecoli_vf~~~fliY~~~gi:15802355 cystine transporter subunit
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_26_length_84402_cov_35.815829	52802	53161	flhD	1-360/360	===============	0/0	100.00	98.61	ecoli_vf	gi:15802304	ecoli_vf~~~flhD~~~gi:15802304 transcriptional activator FlhD
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_26_length_84402_cov_35.815829	53164	53742	flhC	1-579/579	===============	0/0	100.00	99.48	ecoli_vf	gi:15802303	ecoli_vf~~~flhC~~~gi:15802303 transcriptional activator FlhC
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_26_length_84402_cov_35.815829	53869	54756	motA	1-888/888	===============	0/0	100.00	99.10	ecoli_vf	gi:15802302	ecoli_vf~~~motA~~~gi:15802302 flagellar motor protein MotA
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_26_length_84402_cov_35.815829	54753	55679	motB	1-927/927	===============	0/0	100.00	97.95	ecoli_vf	gi:15802301	ecoli_vf~~~motB~~~gi:15802301 flagellar motor protein MotB
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_26_length_84402_cov_35.815829	55684	57648	cheA	1-1965/1965	===============	0/0	100.00	99.39	ecoli_vf	gi:15802300	ecoli_vf~~~cheA~~~gi:15802300 chemotaxis protein CheA
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_26_length_84402_cov_35.815829	57669	58172	cheW	1-504/504	===============	0/0	100.00	98.61	ecoli_vf	gi:15802299	ecoli_vf~~~cheW~~~gi:15802299 purine-binding chemotaxis protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_26_length_84402_cov_35.815829	58317	59978	tar/cheM	1-1662/1662	===============	0/0	100.00	98.14	ecoli_vf	gi:15802298	ecoli_vf~~~tar/cheM~~~gi:15802298 methyl-accepting chemotaxis protein II
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_26_length_84402_cov_35.815829	61644	62504	cheR	1-861/861	===============	0/0	100.00	99.30	ecoli_vf	gi:15802296	ecoli_vf~~~cheR~~~gi:15802296 chemotaxis methyltransferase CheR
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_26_length_84402_cov_35.815829	62507	63556	cheB	1-1050/1050	===============	0/0	100.00	98.48	ecoli_vf	gi:15802295	ecoli_vf~~~cheB~~~gi:15802295 chemotaxis-specific methylesterase
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_26_length_84402_cov_35.815829	63571	63960	cheY	1-390/390	===============	0/0	100.00	99.23	ecoli_vf	gi:15802294	ecoli_vf~~~cheY~~~gi:15802294 chemotaxis regulatory protein CheY
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_26_length_84402_cov_35.815829	63971	64615	cheZ	1-645/645	===============	0/0	100.00	99.38	ecoli_vf	gi:15802293	ecoli_vf~~~cheZ~~~gi:15802293 chemotaxis regulator CheZ
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_26_length_84402_cov_35.815829	64817	65965	flhB	1-1149/1149	===============	0/0	100.00	98.43	ecoli_vf	gi:15802292	ecoli_vf~~~flhB~~~gi:15802292 flagellar biosynthesis protein FlhB
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_26_length_84402_cov_35.815829	65958	68034	flhA	1-2077/2079	===============	0/0	99.90	98.36	ecoli_vf	gi:15802291	ecoli_vf~~~flhA~~~gi:15802291 flagellar biosynthesis protein FlhA
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_26_length_84402_cov_35.815829	68036	68428	flhE	1-393/393	===============	0/0	100.00	96.95	ecoli_vf	gi:15802290	ecoli_vf~~~flhE~~~gi:15802290 flagellar protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_26_length_84402_cov_35.815829	76469	76580	entD	15-126/771	===...../......	2/2	14.40	90.27	ecoli_vf	gi:26246560	ecoli_vf~~~entD~~~gi:26246560 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_27_length_76408_cov_41.557046	22027	23319	espX5	1-1293/1293	===============	0/0	100.00	95.67	ecoli_vf	gi:291285483	ecoli_vf~~~espX5~~~gi:291285483 hypothetical protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_28_length_68584_cov_39.001855	11004	12386	ibeB	1-1383/1383	===============	0/0	100.00	98.77	ecoli_vf	gi:410483826	ecoli_vf~~~ibeB~~~gi:410483826 copper/silver efflux system outer membrane protein CusC
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_28_length_68584_cov_39.001855	15401	16047	aec15	1-647/2109	=====..........	0/0	30.68	99.38	ecoli_vf	gi:260867900	ecoli_vf~~~aec15~~~gi:260867900 VgrE protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_28_length_68584_cov_39.001855	18638	19591	ompt	1-954/954	===============	0/0	100.00	99.79	ecoli_vf	SPG000077	ecoli_vf~~~ompt~~~SPG000077 E. coli ompT gene for outer membrane protease.
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_28_length_68584_cov_39.001855	29554	29861	iss2	1-308/309	===============	0/0	99.68	95.78	ecoli_vf	SPG000143	ecoli_vf~~~iss2~~~SPG000143 Escherichia coli Iss (iss) gene complete cds.
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_29_length_68420_cov_39.055159	25286	26017	artj	1-732/732	===============	0/0	100.00	96.72	ecoli_vf	SPG000096	ecoli_vf~~~artj~~~SPG000096 E.coli artP artI artQ artM and artJ genes.
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_29_length_68420_cov_39.055159	26020	26156	entD	1-137/771	===...../......	2/2	17.64	84.78	ecoli_vf	gi:26246560	ecoli_vf~~~entD~~~gi:26246560 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_2_length_278702_cov_39.421219	238432	239427	flk	1-996/996	===============	0/0	100.00	99.00	ecoli_vf	gi:15802868	ecoli_vf~~~flk~~~gi:15802868 flagella biosynthesis regulator
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_30_length_67456_cov_44.705788	46067	47648	espX4	1-1581/1581	========/======	3/3	99.94	92.86	ecoli_vf	gi:15804631	ecoli_vf~~~espX4~~~gi:15804631 Type III secretion system effector EspX4
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_32_length_53680_cov_42.755719	363	3284	cah	1-2922/2922	===============	0/0	100.00	94.49	ecoli_vf	gi:218561452	ecoli_vf~~~cah~~~gi:218561452 antigen 43 precursor (AG43) (Fluffing protein)
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_32_length_53680_cov_42.755719	9306	9842	gspM	1-537/537	===============	0/0	100.00	100.00	ecoli_vf	gi:157154814	ecoli_vf~~~gspM~~~gi:157154814 putative general secretion pathway protein YghD
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_32_length_53680_cov_42.755719	9844	11022	gspL	1-1179/1179	===============	0/0	100.00	100.00	ecoli_vf	gi:157156601	ecoli_vf~~~gspL~~~gi:157156601 GspL-like protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_32_length_53680_cov_42.755719	11019	11996	gspK	1-978/978	===============	0/0	100.00	97.65	ecoli_vf	gi:157155920	ecoli_vf~~~gspK~~~gi:157155920 general secretion pathway protein K
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_32_length_53680_cov_42.755719	11999	12598	gspJ	1-600/600	===============	0/0	100.00	99.50	ecoli_vf	gi:157157609	ecoli_vf~~~gspJ~~~gi:157157609 general secretion pathway protein J
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_32_length_53680_cov_42.755719	12595	12966	gspI	1-372/372	===============	0/0	100.00	96.77	ecoli_vf	gi:157156956	ecoli_vf~~~gspI~~~gi:157156956 general secretion pathway protein I
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_32_length_53680_cov_42.755719	12963	13526	gspH	1-564/564	===============	0/0	100.00	97.69	ecoli_vf	gi:157158634	ecoli_vf~~~gspH~~~gi:157158634 general secretion pathway protein H
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_32_length_53680_cov_42.755719	13530	13985	gspG	1-456/456	===============	0/0	100.00	99.78	ecoli_vf	gi:157157959	ecoli_vf~~~gspG~~~gi:157157959 general secretion pathway protein G
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_32_length_53680_cov_42.755719	14002	15225	gspF	1-1224/1224	===============	0/0	100.00	98.78	ecoli_vf	gi:157154920	ecoli_vf~~~gspF~~~gi:157154920 general secretion pathway protein F
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_32_length_53680_cov_42.755719	15225	16718	gspE	1-1494/1494	===============	0/0	100.00	98.33	ecoli_vf	gi:157159001	ecoli_vf~~~gspE~~~gi:157159001 general secretory pathway protein E
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_32_length_53680_cov_42.755719	16718	18778	gspD	1-2061/2061	===============	0/0	100.00	98.88	ecoli_vf	gi:157157281	ecoli_vf~~~gspD~~~gi:157157281 general secretion pathway protein D
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_32_length_53680_cov_42.755719	18808	19767	gspC	1-960/960	===============	0/0	100.00	99.06	ecoli_vf	gi:157156659	ecoli_vf~~~gspC~~~gi:157156659 putative type II secretion protein GspC
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_32_length_53680_cov_42.755719	19785	20195	yghg	1-411/411	===============	0/0	100.00	98.78	ecoli_vf	SPG000136	ecoli_vf~~~yghg~~~SPG000136 Pilotin Secretion system Type II Secretion System
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_32_length_53680_cov_42.755719	20261	21070	b2972	1-810/810	===============	0/0	100.00	95.80	ecoli_vf	SPG000090	ecoli_vf~~~b2972~~~SPG000090 Prepilin peptidase Adherence Hemorrhagic coli pilus
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_33_length_52506_cov_42.272552	21151	21269	entD	1-119/771	===...../......	2/2	15.30	88.33	ecoli_vf	gi:26246560	ecoli_vf~~~entD~~~gi:26246560 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_36_length_43919_cov_44.478603	19109	20842	ibeC	1-1734/1734	===============	0/0	100.00	98.90	ecoli_vf	gi:157157305	ecoli_vf~~~ibeC~~~gi:157157305 hypothetical protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_36_length_43919_cov_44.478603	31411	31520	entD	15-124/771	===...../......	2/2	14.14	87.39	ecoli_vf	gi:26246560	ecoli_vf~~~entD~~~gi:26246560 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_36_length_43919_cov_44.478603	41257	41372	entD	1-117/771	===...../......	1/1	15.05	88.03	ecoli_vf	gi:26246560	ecoli_vf~~~entD~~~gi:26246560 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_37_length_42276_cov_45.686612	2385	2520	entD	1-136/771	===...../......	2/2	17.51	86.86	ecoli_vf	gi:26246560	ecoli_vf~~~entD~~~gi:26246560 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_3_length_210053_cov_43.828883	97567	98007	ppdD	1-441/441	===============	0/0	100.00	98.64	ecoli_vf	gi:15799792	ecoli_vf~~~ppdD~~~gi:15799792 putative major pilin subunit
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_3_length_210053_cov_43.828883	98017	99402	hofB	1-1386/1386	===============	0/0	100.00	97.69	ecoli_vf	gi:15799791	ecoli_vf~~~hofB~~~gi:15799791 hypothetical protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_3_length_210053_cov_43.828883	99392	100594	hofC	1-1203/1203	===============	0/0	100.00	97.76	ecoli_vf	gi:15799790	ecoli_vf~~~hofC~~~gi:15799790 type IV pilin biogenesis protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_3_length_210053_cov_43.828883	193196	194617	espX1	1-1422/1422	===============	0/0	100.00	94.73	ecoli_vf	gi:260866172	ecoli_vf~~~espX1~~~gi:260866172 T3SS effector-like protein EspX
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_40_length_37633_cov_37.736229	23728	23963	fimD	2519-2754/2754	.............==	0/0	8.57	96.19	ecoli_vf	gi:260871037	ecoli_vf~~~fimD~~~gi:260871037 outer membrane usher protein FimD
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_45_length_29751_cov_46.492675	12895	15070	cadA	1-2176/2176	===============	0/0	100.00	99.63	ecoli_vf	SPG000027	ecoli_vf~~~cadA~~~SPG000027 gb|AY319765.1|:1081-3256 Escherichia coli cadBA operon partial sequence
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_47_length_27170_cov_35.293865	5665	6228	Z2200	1-564/564	===============	0/0	100.00	99.11	ecoli_vf	gi:15801631	ecoli_vf~~~Z2200~~~gi:15801631 putative major fimbrial subunit
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_47_length_27170_cov_35.293865	6580	7299	Z2201	1-720/720	===============	0/0	100.00	98.47	ecoli_vf	gi:15801632	ecoli_vf~~~Z2201~~~gi:15801632 putative fimbrial chaperone protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_47_length_27170_cov_35.293865	7341	9992	Z2203	1-2652/2652	===============	0/0	100.00	98.94	ecoli_vf	gi:15801633	ecoli_vf~~~Z2203~~~gi:15801633 putative fimbrial usher protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_47_length_27170_cov_35.293865	10006	10536	Z2204	1-531/531	===============	0/0	100.00	99.62	ecoli_vf	gi:15801634	ecoli_vf~~~Z2204~~~gi:15801634 putative fimbrial-like protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_47_length_27170_cov_35.293865	10549	11052	fimG	1-504/504	===============	0/0	100.00	99.60	ecoli_vf	gi:410482685	ecoli_vf~~~fimG~~~gi:410482685 fimbrial-like adhesin protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_47_length_27170_cov_35.293865	11112	12026	Z2206	1-915/915	===============	0/0	100.00	98.47	ecoli_vf	gi:15801636	ecoli_vf~~~Z2206~~~gi:15801636 putative adhesin; FimH protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_49_length_24781_cov_40.123550	2754	4895	vgrG	1-2142/2142	===============	0/0	100.00	97.99	ecoli_vf	gi:15799916	ecoli_vf~~~vgrG~~~gi:15799916 hypothetical protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_49_length_24781_cov_40.123550	4991	5215	Z0263	1-225/225	===============	0/0	100.00	100.00	ecoli_vf	gi:15799912	ecoli_vf~~~Z0263~~~gi:15799912 hypothetical protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_49_length_24781_cov_40.123550	5266	6741	aec18	1-1476/1476	===============	0/0	100.00	99.93	ecoli_vf	gi:260866372	ecoli_vf~~~aec18~~~gi:260866372 hypothetical protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_49_length_24781_cov_40.123550	6748	7161	aec19	1-414/414	===============	0/0	100.00	100.00	ecoli_vf	gi:260842457	ecoli_vf~~~aec19~~~gi:260842457 hypothetical protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_49_length_24781_cov_40.123550	7165	9015	ECO111_0230	1-1851/1851	===============	0/0	100.00	99.84	ecoli_vf	gi:260866370	ecoli_vf~~~ECO111_0230~~~gi:260866370 hypothetical protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_49_length_24781_cov_40.123550	8973	10061	aec22	1-1089/1089	===============	0/0	100.00	99.91	ecoli_vf	gi:218693690	ecoli_vf~~~aec22~~~gi:218693690 hypothetical protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_49_length_24781_cov_40.123550	10065	11366	aec23	1-1302/1302	===============	0/0	100.00	99.69	ecoli_vf	gi:218693689	ecoli_vf~~~aec23~~~gi:218693689 hypothetical protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_49_length_24781_cov_40.123550	11363	11887	aec24	1-525/525	===============	0/0	100.00	100.00	ecoli_vf	gi:260842453	ecoli_vf~~~aec24~~~gi:260842453 lipoprotein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_49_length_24781_cov_40.123550	11890	12871	aec25	1-982/1332	============...	0/0	73.72	99.90	ecoli_vf	gi:260866367	ecoli_vf~~~aec25~~~gi:260866367 hypothetical protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_49_length_24781_cov_40.123550	12895	12964	aec31	1284-1353/1353	..............=	0/0	5.17	100.00	ecoli_vf	gi:260842446	ecoli_vf~~~aec31~~~gi:260842446 hypothetical protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_49_length_24781_cov_40.123550	12988	13470	aec32	1-483/483	===============	0/0	100.00	100.00	ecoli_vf	gi:260866361	ecoli_vf~~~aec32~~~gi:260866361 Hcp-like protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_51_length_22252_cov_42.832362	14729	14904	aaiV	231-408/408	.......=/======	2/2	43.14	89.33	ecoli_vf	gi:284924300	ecoli_vf~~~aaiV~~~gi:284924300 hypothetical protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_51_length_22252_cov_42.832362	15805	16022	ldaB	101-318/327	....====/======	3/6	65.75	75.11	ecoli_vf	gi:62255479	ecoli_vf~~~ldaB~~~gi:62255479 LdaB
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_51_length_22252_cov_42.832362	21418	22130	EC55989_3315	91-803/1368	=========......	0/0	52.12	96.07	ecoli_vf	gi:218696615	ecoli_vf~~~EC55989_3315~~~gi:218696615 hypothetical protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_53_length_22014_cov_18.093800	10503	11942	aaiB	40-1479/1479	===============	0/0	97.36	80.69	ecoli_vf	gi:410481010	ecoli_vf~~~aaiB~~~gi:410481010 hypothetical protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_54_length_20385_cov_41.390611	7163	8737	espL4	1-1575/1575	===============	0/0	100.00	98.98	ecoli_vf	gi:260870723	ecoli_vf~~~espL4~~~gi:260870723 T3SS effector-like protein EspL
